#{"t_start": 1565934125.7121804, "env_id": null}
r,l,t
-2.151339,1000,24.595923
0.186402,1000,24.597534
-3.962558,1000,24.597997
0.005937,1000,24.598216
0.722462,1000,24.598755
0.017995,1000,24.598773
0.326292,1000,24.598957
0.038448,1000,24.607342
1.518745,1000,41.675102
-0.115019,1000,41.675334
0.084856,1000,41.67562
2.51826,1000,41.675752
6.85953,1000,41.675938
11.554222,1000,41.675934
-11.167581,1000,41.675951
-0.106503,1000,41.67686
2.583743,1000,59.062207
0.010768,1000,59.062391
17.532459,1000,59.062651
0.010768,1000,59.062763
1.21463,1000,59.063148
11.090386,1000,59.063533
32.986118,1000,59.064321
0.01057,1000,59.064701
0.354164,1000,76.165344
4.576049,1000,76.168276
0.76673,1000,76.168293
1.028071,1000,76.16858
17.192015,1000,76.168663
17.639631,1000,76.168799
0.137521,1000,76.169221
0.292547,1000,76.175322
0.010768,1000,93.118664
0.010768,1000,93.118845
0.044345,1000,93.119061
2.300754,1000,93.119142
0.003814,1000,93.119174
0.006234,1000,93.119632
0.010769,1000,93.119959
0.010768,1000,93.120006
0.010768,1000,109.687295
-0.276519,1000,109.687526
0.103729,1000,109.687846
0.010768,1000,109.68801
-0.195526,1000,109.688244
-2.009305,1000,109.688337
-0.037654,1000,109.688436
11.653274,1000,109.688835
0.327935,1000,126.679935
-0.007433,1000,126.681848
-0.009603,1000,126.681857
0.010768,1000,126.682224
-0.237256,1000,126.682276
0.010768,1000,126.682342
13.056453,1000,126.68285
0.010768,1000,126.686785
0.503303,1000,143.503248
0.010768,1000,143.503324
-5.685676,1000,143.503546
-2.194636,1000,143.503897
0.885167,1000,143.503921
9.249275,1000,143.503917
-0.490506,1000,143.504086
0.010768,1000,143.504423
0.001745,1000,160.05152
-0.002397,1000,160.053281
-2.825771,1000,160.053518
-0.006655,1000,160.053527
0.010768,1000,160.053857
0.010768,1000,160.053966
0.010768,1000,160.05442
-2.941927,1000,160.057909
2.620189,1000,176.642045
-5.619529,1000,176.642112
0.010768,1000,176.642341
-5.478855,1000,176.642356
-1.214218,1000,176.642472
0.010768,1000,176.642533
-4.280791,1000,176.642892
1.281245,1000,176.642942
0.010768,1000,192.65787
0.009222,1000,192.660714
