#{"t_start": 1565937205.1020954, "env_id": null}
r,l,t
477.867942,1000,612.675853
598.870592,1000,612.676051
541.21838,1000,630.464868
518.10058,1000,630.465605
583.062156,1000,630.465937
704.031143,1000,630.466009
464.244314,1000,630.466649
679.908478,1000,630.467183
695.75469,1000,630.467259
883.398363,1000,630.469335
597.580589,1000,647.319941
624.894192,1000,647.320236
440.7559,1000,647.320473
603.209314,1000,647.320714
441.243806,1000,647.320844
598.613027,1000,647.320986
515.173245,1000,647.321412
232.303421,1000,647.321488
457.415429,1000,664.106069
590.378254,1000,664.106203
554.663666,1000,664.106395
571.827831,1000,664.106423
598.238066,1000,664.107049
483.028206,1000,664.107322
608.105808,1000,664.107727
564.689034,1000,664.108987
615.648097,1000,681.144069
530.845883,1000,681.145209
525.745405,1000,681.145285
563.868298,1000,681.145285
613.982834,1000,681.145649
637.568325,1000,681.146065
610.993267,1000,681.147391
631.661155,1000,681.149343
611.158144,1000,697.7622
497.348222,1000,697.762531
570.28927,1000,697.762667
564.368822,1000,697.762806
632.314988,1000,697.76282
565.574191,1000,697.762962
655.125549,1000,697.763802
569.958878,1000,697.765166
559.45691,1000,714.412269
575.932073,1000,714.412835
651.527869,1000,714.413039
608.522666,1000,714.413166
563.281604,1000,714.413383
545.090584,1000,714.413498
603.009744,1000,714.413535
589.971697,1000,714.416177
639.201356,1000,730.624729
618.337283,1000,730.624892
612.849064,1000,730.625067
632.885688,1000,730.625246
598.687168,1000,730.625318
647.509441,1000,730.62544
717.634102,1000,730.625891
646.818815,1000,730.626076
647.154853,1000,747.431756
598.221453,1000,747.434561
619.830133,1000,747.435014
646.552842,1000,747.435385
609.719864,1000,747.435946
690.226931,1000,747.436436
724.059075,1000,747.437523
561.008064,1000,747.440689
546.888924,1000,764.207774
653.761112,1000,764.209205
685.736774,1000,764.20952
585.148845,1000,764.209831
630.714443,1000,764.209855
717.32037,1000,764.210492
589.592411,1000,764.21128
682.350633,1000,764.212486
589.223443,1000,780.910394
687.759464,1000,780.91057
650.665998,1000,780.910743
694.830934,1000,780.910762
575.054145,1000,780.910828
655.275925,1000,780.911546
666.495457,1000,780.911672
636.894987,1000,780.911988
606.466773,1000,797.875385
626.825174,1000,797.875527
558.654383,1000,797.875692
561.980063,1000,797.87592
594.724403,1000,797.876272
564.490883,1000,797.87644
553.948678,1000,797.879727
503.525424,1000,797.879736
718.109556,1000,814.676682
676.752315,1000,814.67678
760.145887,1000,814.678248
633.778418,1000,814.678249
663.672314,1000,814.678653
717.324604,1000,814.678674
677.383775,1000,814.678874
603.388886,1000,814.680702
721.957874,1000,831.427134
677.349656,1000,831.427327
628.234225,1000,831.427978
719.012508,1000,831.428298
665.682319,1000,831.428421
689.548119,1000,831.428666
665.642097,1000,831.428719
639.476586,1000,831.428857
555.188764,1000,848.568611
588.774158,1000,848.569055
557.494615,1000,848.569185
625.14749,1000,848.569256
520.333065,1000,848.570732
577.631595,1000,848.57223
558.385411,1000,848.572324
591.048031,1000,848.582193
688.045718,1000,865.472544
122.459397,1000,865.47508
562.156646,1000,865.47555
495.471465,1000,865.47559
622.67252,1000,865.475786
615.020985,1000,865.476727
716.793602,1000,865.477715
595.104556,1000,865.484358
566.759814,1000,882.942321
597.51665,1000,882.945188
589.837121,1000,882.945553
615.27977,1000,882.946299
599.408301,1000,882.946349
651.108704,1000,882.946624
642.663253,1000,882.947082
571.648969,1000,882.950803
733.376263,1000,899.766607
676.124354,1000,899.769451
648.137396,1000,899.769481
623.123236,1000,899.769782
762.245675,1000,899.770016
774.468828,1000,899.771218
682.652553,1000,899.771616
605.479491,1000,899.776124
703.79991,1000,916.0981
760.298952,1000,916.099328
680.904126,1000,916.099371
591.686153,1000,916.100444
701.749213,1000,916.100805
662.549116,1000,916.100885
777.677452,1000,916.101718
684.78138,1000,916.10461
699.516287,1000,933.058902
773.905411,1000,933.059212
586.906455,1000,933.059418
769.805115,1000,933.059763
664.598365,1000,933.059928
673.858079,1000,933.060254
678.492001,1000,933.060304
661.549226,1000,933.06046
647.771496,1000,950.575576
736.777412,1000,950.577605
601.711528,1000,950.577954
705.591198,1000,950.577962
771.257057,1000,950.578026
662.899755,1000,950.578052
655.664283,1000,950.578466
587.34581,1000,950.588765
684.43084,1000,967.284481
722.223976,1000,967.28764
665.774979,1000,967.28815
715.659848,1000,967.288279
635.610064,1000,967.288549
674.148472,1000,967.288547
727.628136,1000,967.288703
611.934366,1000,967.297966
555.450986,1000,984.333493
605.577278,1000,984.333824
380.346629,1000,984.333824
392.596706,1000,984.334014
463.319582,1000,984.334047
683.029448,1000,984.335956
676.126249,1000,984.336105
677.454964,1000,984.336481
494.500646,1000,1000.994615
557.490472,1000,1000.995192
755.735978,1000,1000.995298
608.065693,1000,1000.995306
832.205695,1000,1000.995374
526.17205,1000,1000.995374
594.225833,1000,1000.995456
607.786738,1000,1000.995917
660.35766,1000,1018.274664
552.587923,1000,1018.275046
614.143889,1000,1018.276049
639.392647,1000,1018.276079
609.424024,1000,1018.276557
569.503642,1000,1018.277213
548.420295,1000,1018.27745
673.316282,1000,1018.280813
519.729639,1000,1036.554362
575.681518,1000,1036.554661
657.174968,1000,1036.554744
471.523172,1000,1036.55488
696.75328,1000,1036.555451
625.246181,1000,1036.55736
887.208871,1000,1036.55913
569.545007,1000,1036.559693
631.23183,1000,1053.572678
628.099526,1000,1053.572675
593.929147,1000,1053.573391
565.3246,1000,1053.573496
560.570736,1000,1053.574055
593.74337,1000,1053.574306
444.047046,1000,1053.574926
631.530416,1000,1053.575299
601.011391,1000,1070.835878
582.931586,1000,1070.835917
658.561594,1000,1070.836281
637.202957,1000,1070.836298
577.392311,1000,1070.836486
678.169816,1000,1070.836785
554.595201,1000,1070.837039
562.405458,1000,1070.837182
677.415998,1000,1087.406195
713.575004,1000,1087.406765
706.746131,1000,1087.407149
727.727184,1000,1087.407493
654.317222,1000,1087.407523
688.100251,1000,1087.407893
657.742547,1000,1087.40795
632.720927,1000,1087.40875
606.300518,1000,1104.292652
666.079295,1000,1104.29504
566.093631,1000,1104.295234
715.039865,1000,1104.295281
777.288729,1000,1104.295942
804.598455,1000,1104.296137
702.710343,1000,1104.296819
555.966505,1000,1104.299763
532.768181,1000,1121.374941
660.242802,1000,1121.376544
517.903697,1000,1121.376544
484.802225,1000,1121.376855
562.78877,1000,1121.3778
637.907445,1000,1121.378118
627.777774,1000,1121.379919
493.441743,1000,1121.380186
726.248597,1000,1138.399133
709.920039,1000,1138.399667
672.16363,1000,1138.399691
730.075526,1000,1138.399938
799.022348,1000,1138.40001
709.200328,1000,1138.40006
617.214279,1000,1138.400069
744.951723,1000,1138.400283
793.655471,1000,1155.393476
551.238475,1000,1155.39351
685.310449,1000,1155.393659
593.783201,1000,1155.393808
734.090178,1000,1155.393981
576.110466,1000,1155.395189
697.196465,1000,1155.395988
752.455459,1000,1155.396597
711.343187,1000,1172.255173
613.597477,1000,1172.257943
626.176194,1000,1172.25812
825.089823,1000,1172.258538
784.108294,1000,1172.258715
700.200308,1000,1172.259048
690.962921,1000,1172.25931
751.435477,1000,1172.26461
558.4292,1000,1188.485345
590.764316,1000,1188.485345
522.10227,1000,1188.485432
560.112186,1000,1188.485571
503.86465,1000,1188.486136
496.196744,1000,1188.486155
579.96379,1000,1188.486238
590.357092,1000,1188.488144
597.824552,1000,1205.74147
532.38293,1000,1205.74223
613.562359,1000,1205.742295
649.692458,1000,1205.742961
553.628963,1000,1205.744103
623.413656,1000,1205.744658
635.773107,1000,1205.744901
683.991743,1000,1205.744917
715.86519,1000,1223.851165
370.053865,1000,1223.852155
702.423528,1000,1223.8523
730.04314,1000,1223.852662
648.033973,1000,1223.853006
659.219487,1000,1223.853107
731.320724,1000,1223.854425
669.095255,1000,1223.854756
324.86543,1000,1241.032028
630.581183,1000,1241.032194
729.112685,1000,1241.032473
648.253568,1000,1241.032629
736.989518,1000,1241.033396
722.966034,1000,1241.033984
767.214382,1000,1241.034301
760.412015,1000,1241.034945
662.390513,1000,1257.574863
682.287985,1000,1257.574976
661.314854,1000,1257.574976
721.630268,1000,1257.575045
706.738434,1000,1257.575102
731.019659,1000,1257.575207
662.390327,1000,1257.575383
701.261143,1000,1257.576224
648.572698,1000,1273.843218
742.22752,1000,1273.846911
734.908087,1000,1273.847189
744.362845,1000,1273.847535
746.5806,1000,1273.847629
738.393451,1000,1273.847708
721.43707,1000,1273.848384
768.594085,1000,1273.852476
428.796306,1000,1290.83949
519.012901,1000,1290.83994
527.745854,1000,1290.840298
569.775189,1000,1290.840888
506.311994,1000,1290.841189
616.218412,1000,1290.841805
747.082066,1000,1290.843125
580.789376,1000,1290.843127
708.078377,1000,1308.845355
721.900965,1000,1308.847008
729.730593,1000,1308.847858
658.466749,1000,1308.848576
650.228814,1000,1308.849162
738.203831,1000,1308.849521
832.786489,1000,1308.850915
606.941797,1000,1308.857483
722.820073,1000,1325.684822
764.690975,1000,1325.687756
765.753192,1000,1325.687757
674.734642,1000,1325.687857
796.080444,1000,1325.688184
778.861522,1000,1325.688273
834.822955,1000,1325.688781
751.84272,1000,1325.698085
666.298903,1000,1343.030481
731.196406,1000,1343.031986
699.240166,1000,1343.03241
737.349261,1000,1343.032661
705.167435,1000,1343.032739
751.982549,1000,1343.032848
685.945605,1000,1343.033299
776.467899,1000,1343.043201
663.316619,1000,1359.770101
699.871506,1000,1359.770102
705.824005,1000,1359.771257
723.949827,1000,1359.772185
673.94689,1000,1359.772197
674.93511,1000,1359.772681
700.290628,1000,1359.772953
672.34592,1000,1359.773157
824.398184,1000,1376.731685
690.808484,1000,1376.734451
671.714693,1000,1376.734809
823.929849,1000,1376.734838
574.206355,1000,1376.734985
780.904141,1000,1376.735861
742.941248,1000,1376.737103
781.30304,1000,1376.742408
770.493256,1000,1393.902753
281.107187,1000,1393.90451
798.111303,1000,1393.904547
790.121305,1000,1393.904581
724.295347,1000,1393.9051
811.420399,1000,1393.905621
810.895032,1000,1393.906256
815.504903,1000,1393.912734
633.541327,1000,1410.754437
770.349752,1000,1410.754588
775.441334,1000,1410.75483
712.560164,1000,1410.754931
768.497606,1000,1410.754966
791.800634,1000,1410.75552
761.846459,1000,1410.755621
749.281302,1000,1410.756026
766.772792,1000,1427.840425
703.086902,1000,1427.84257
698.506816,1000,1427.842706
720.633213,1000,1427.842714
751.344758,1000,1427.84339
716.657511,1000,1427.843485
737.119421,1000,1427.844244
745.843096,1000,1427.852364
519.369713,1000,1445.597629
291.915011,1000,1445.598699
680.66269,1000,1445.598875
559.950656,1000,1445.599916
200.177477,1000,1445.600381
705.52935,1000,1445.600509
399.786999,1000,1445.601891
685.736326,1000,1445.602149
584.635531,1000,1463.263725
578.114834,1000,1463.266727
503.302965,1000,1463.266946
529.959082,1000,1463.267021
547.796512,1000,1463.267021
671.295754,1000,1463.267261
515.589272,1000,1463.27
774.196537,1000,1463.280591
727.102859,1000,1480.520648
671.98062,1000,1480.520815
794.457953,1000,1480.520825
709.218254,1000,1480.521704
645.027483,1000,1480.521842
